date,ticker,market,open,close,high,low,adjclose,volume,zadjcp
2024-11-28 00:00:00+08:00,600519.SS,csi300,1522,1518,1524.98999,1502,1494.626221,2395203,0.9846022534
2024-11-29 00:00:00+08:00,600519.SS,csi300,1517,1525.73999,1555,1513.209961,1502.24707,3608810,0.9846022782
2024-12-02 00:00:00+08:00,600519.SS,csi300,1526,1525,1529.98999,1515.099976,1501.518433,2681954,0.9846022509
2024-12-03 00:00:00+08:00,600519.SS,csi300,1524,1526.73999,1528.900024,1516.079956,1503.231689,2480662,0.9846022892
2024-12-04 00:00:00+08:00,600519.SS,csi300,1520.069946,1520,1523.660034,1510,1496.595459,2392389,0.9846022756
2024-12-05 00:00:00+08:00,600519.SS,csi300,1510.859985,1511,1517.859985,1510,1487.734009,1614147,0.984602256
2024-12-06 00:00:00+08:00,600519.SS,csi300,1513,1521.01001,1538.900024,1508.069946,1497.589966,3203969,0.9846023078
2024-12-09 00:00:00+08:00,600519.SS,csi300,1522.02002,1518.800049,1529.719971,1513.199951,1495.41394,1979986,0.9846022467
2024-12-10 00:00:00+08:00,600519.SS,csi300,1570,1546.589966,1579.72998,1545.180054,1522.776001,6031210,0.9846022764
2024-12-11 00:00:00+08:00,600519.SS,csi300,1540,1535.599976,1555,1530.97998,1511.9552,2967112,0.9846022559
2024-12-12 00:00:00+08:00,600519.SS,csi300,1532.02002,1565.800049,1566,1529,1541.690308,4193652,0.9846022861
2024-12-13 00:00:00+08:00,600519.SS,csi300,1550.01001,1519,1554.98999,1518.880005,1495.61084,4951197,0.9846022645
2024-12-16 00:00:00+08:00,600519.SS,csi300,1521,1527.199951,1529,1510.709961,1503.68457,3253710,0.9846022907
2024-12-17 00:00:00+08:00,600519.SS,csi300,1525.98999,1558,1569,1521.01001,1534.010376,5417163,0.9846022952
2024-12-18 00:00:00+08:00,600519.SS,csi300,1557.969971,1571.5,1577,1547.099976,1547.30249,4116226,0.9846022846
2024-12-19 00:00:00+08:00,600519.SS,csi300,1565.140015,1551.01001,1567.930054,1550.329956,1527.12793,2480932,0.9846022399
2024-12-20 00:00:00+08:00,600519.SS,csi300,1531.130005,1522,1541.800049,1520.02002,1522,2815774,1
2024-12-23 00:00:00+08:00,600519.SS,csi300,1523,1526.449951,1538,1517,1526.449951,2160269,1
2024-12-24 00:00:00+08:00,600519.SS,csi300,1525,1538.819946,1544,1521.589966,1538.819946,2210492,1
2024-12-25 00:00:00+08:00,600519.SS,csi300,1538.800049,1530,1538.800049,1526.099976,1530,1712339,1
2024-12-26 00:00:00+08:00,600519.SS,csi300,1534,1527.790039,1538.780029,1523,1527.790039,1828651,1
2024-12-27 00:00:00+08:00,600519.SS,csi300,1528.900024,1528.969971,1536,1519.5,1528.969971,2075932,1
2024-12-30 00:00:00+08:00,600519.SS,csi300,1533.969971,1525,1543.959961,1525,1525,2512982,1
2024-12-31 00:00:00+08:00,600519.SS,csi300,1525.400024,1524,1545,1522.01001,1524,3935445,1
2025-01-02 00:00:00+08:00,600519.SS,csi300,1524,1488,1524.48999,1480,1488,5002870,1
2025-01-03 00:00:00+08:00,600519.SS,csi300,1494.5,1475,1494.98999,1467.01001,1475,3262836,1
2025-01-06 00:00:00+08:00,600519.SS,csi300,1453,1440,1462.660034,1432.800049,1440,4425512,1
2025-01-07 00:00:00+08:00,600519.SS,csi300,1444.660034,1440.199951,1451.890015,1439,1440.199951,2422118,1
2025-01-08 00:00:00+08:00,600519.SS,csi300,1440,1442.5,1451.819946,1426.660034,1442.5,3525821,1
2025-01-09 00:00:00+08:00,600519.SS,csi300,1448.98999,1444,1464.579956,1432.97998,1444,2970565,1
2025-01-10 00:00:00+08:00,600519.SS,csi300,1447.099976,1436,1451.949951,1436,1436,2187195,1
2025-01-13 00:00:00+08:00,600519.SS,csi300,1425,1443.97998,1444.439941,1422.01001,1443.97998,2108251,1
2025-01-14 00:00:00+08:00,600519.SS,csi300,1444.949951,1472.5,1478.680054,1442,1472.5,3095657,1
2025-01-15 00:00:00+08:00,600519.SS,csi300,1467,1471.27002,1474.599976,1460.01001,1471.27002,1839934,1
2025-01-16 00:00:00+08:00,600519.SS,csi300,1474,1446.380005,1482.660034,1442,1446.380005,2634213,1
2025-01-17 00:00:00+08:00,600519.SS,csi300,1446.390015,1454.75,1461,1446.380005,1454.75,1830894,1
2025-01-20 00:00:00+08:00,600519.SS,csi300,1461,1474.800049,1489.790039,1460,1474.800049,3140975,1
